Category,Vendor,Technology,Employer Sum,Pluralsight,"Yarn Hooks & Love Silly, LLC",Code Owls LLC,"PokerTek, Inc","LearningStation, Inc.","Convey Systems, Inc",Breault Research Organization,Category Sum,Business Intelligence,Data Analytics,Data Query Language,Data Tools,Databases,APIs / Specs,Automation,Cloud Platforms,Continuous Integration and Testing,Data Visualization,Desktop Development,Embedded Systems / Hardware Development,Natural Language Processing,Machine Learning,Programming Languages,Programming Tools,Version Control Systems,Web Development
APIs / Specs,OASIS,SAML,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,
APIs / Specs,OASIS,SPML,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,
APIs / Specs,Splunk,Splunk Integration,1,,,1,,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Microsoft,SCOM Integration,1,,,1,,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Google,Google Drive API,2,1,,1,,,,,1,,,,,,1,,,,,,,,,,,,
APIs / Specs,Google,Google Sheets API,1,1,,,,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Google,Google Docs API,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,
APIs / Specs,Google,Google Scripts API,1,1,,,,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Various,OAuth,3,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,,
APIs / Specs,Microsoft,PowerShell Providers,3,1,,1,1,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Microsoft,PowerShell Cmdlets,4,1,1,1,1,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Code Owls LLC,p2f,3,1,1,1,,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Microsoft,MSBuild Task Development,2,,,1,1,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,JetBrains,TeamCity Plugin Development,1,,,,1,,,,2,,,,,,1,1,,,,,,,,,,,
APIs / Specs,Microsoft,Internet Protocol Handler Development,2,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,
Automation,Open Source,bash,3,1,,1,,1,,,2,,,,,,,1,,,,,,,,1,,,
Automation,Microsoft,powershell,4,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,
Automation,Google,Google App Scripts,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,
Automation,Zapier,Zapier,2,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,
Automation,CloudConvert,CloudConvert,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,
Business Intelligence,Microsoft,Power BI,1,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,
Business Intelligence,Tableau,Tableau,1,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,
Business Intelligence,Google,Google Sheets,3,1,1,1,,,,,2,1,1,,,,,,,,,,,,,,,,
Business Intelligence,Microsoft,SQL Server Reporting Services,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,
Business Intelligence,Microsoft,Excel,7,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,
Business Intelligence,Google,Google Data Studio,1,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,
Cloud Platforms,Microsoft,Microsoft Azure,3,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,
Cloud Platforms,Amazon,Amazon Web Services,2,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,
Cloud Platforms,Google,Google Cloud Platform,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,
Continuous Integration and Testing,JetBrains,TeamCity,2,,,1,1,,,,1,,,,,,,,,1,,,,,,,,,
Continuous Integration and Testing,Microsoft,MSBuild,4,,1,1,1,1,,,1,,,,,,,,,1,,,,,,,,,
Continuous Integration and Testing,Open Source,psake,4,1,1,1,1,,,,2,,,,,,,1,,1,,,,,,,,,
Continuous Integration and Testing,Open Source,xunit,3,,1,1,1,,,,1,,,,,,,,,1,,,,,,,,,
Continuous Integration and Testing,Open Source,Selenium,3,1,1,1,,,,,1,,,,,,,,,1,,,,,,,,,
Continuous Integration and Testing,Open Source,Fitnesse,2,,,1,1,,,,1,,,,,,,,,1,,,,,,,,,
Continuous Integration and Testing,Open Source,pester,4,1,1,1,1,,,,1,,,,,,,,,1,,,,,,,,,
Data Analytics,Open Source,scikit-learn,2,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Data Analytics,Open Source,pandas,2,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Data Analytics,Jupyter,Jupyter notebooks,2,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Data Query Language,Various,SQL,6,1,1,1,1,1,1,,2,,1,1,,,,,,,,,,,,,,,
Data Query Language,Neo4j,CYPHER,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,
Data Tools,Open Source,Impala,1,1,,,,,,,2,,,1,1,,,,,,,,,,,,,,
Data Tools,Google,BigQuery,1,1,,,,,,,2,,,1,1,,,,,,,,,,,,,,
Data Tools,University of Ljubljana,Orange3,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Open Source,Knime,2,1,,1,,,,,3,1,1,,1,,,,,,,,,,,,,,
Data Tools,Microsoft,SQL Server Management Studio,3,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Microsoft,SQL Server Integration Services,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,
Data Visualization,Open Source,D3,2,1,,1,,,,,2,,,,,,,,,,1,,,,,,,,1
Data Visualization,Open Source,matplotlib,2,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,
Data Visualization,Open Source,Seaborn,2,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,
Database,Microsoft,SQL Server,5,,1,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,
Database,Open Source,SQLite,3,1,,1,1,,,,1,,,,,1,,,,,,,,,,,,,
Database,Open Source,PostgreSQL,2,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,
Database,Open Source,MariaDB,2,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,
Database,SalesForce,SalesForce,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,
Database,Neo4j,Neo4j,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,
Database,Google,BigTable,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,
Desktop Development,Microsoft,WPF,2,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,
Desktop Development,Microsoft,WinForms,2,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,
Desktop Development,Microsoft,Windows API,4,,,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,
Desktop Development,Microsoft,COM / ATL,2,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,
Embedded Systems / Hardware Development,Various,8086 Assembler,3,,,1,1,,1,,1,,,,,,,,,,,,1,,,,,,
Embedded Systems / Hardware Development,Microchip,PIC Assembler,2,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,
Embedded Systems / Hardware Development,Arduino,Arduino,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
Embedded Systems / Hardware Development,Microsoft,Windows Device Drivers,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,
Machine Learning,Open Source,OpenCV,1,,,,1,,,,2,,1,,,,,,,,,,,,1,,,,
Machine Learning,Open Source,NLTK,1,1,,,,,,,3,,1,,,,,,,,,,,1,1,,,,
